epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.6003,2.40252,19.3075,1.27217,0.26592,0.19554,0.16197,0.0364,3.15406,3.18456,1.60761,0.000550054,0.000550054,0.000550054
2,100.944,2.40431,2.27755,1.31869,0.26592,0.19554,0.16197,0.0364,nan,nan,nan,0.00109477,0.00109477,0.00109477
3,133.98,2.43053,2.15613,1.34146,0.29422,0.03907,0.02311,0.00786,3.33965,7.38766,2.75266,0.00162849,0.00162849,0.00162849
4,167.025,2.41617,2.07388,1.328,0.43079,0.32476,0.27218,0.08399,2.63873,4.17148,1.47502,0.00161749,0.00161749,0.00161749
5,200.071,2.36268,1.94501,1.29297,0.39167,0.30766,0.28054,0.08146,2.77351,2.67023,1.4767,0.00160099,0.00160099,0.00160099
6,232.893,2.27749,1.8405,1.2687,0.37266,0.30685,0.25901,0.07527,2.66531,2.62927,1.40524,0.00158448,0.00158448,0.00158448
7,265.787,2.27354,1.82368,1.25147,0.40934,0.41065,0.34564,0.10959,2.46283,2.38519,1.48615,0.00156798,0.00156798,0.00156798
8,298.705,2.19019,1.73662,1.25035,0.462,0.34697,0.33704,0.11212,2.36356,2.32584,1.35125,0.00155148,0.00155148,0.00155148
9,331.764,2.26735,1.77745,1.24079,0.38643,0.32877,0.27988,0.08012,2.59935,2.19844,1.35594,0.00153497,0.00153497,0.00153497
10,364.531,2.18138,1.68523,1.2168,0.46008,0.4647,0.39162,0.13596,2.24884,1.97382,1.36525,0.00151847,0.00151847,0.00151847
11,397.432,2.17132,1.66588,1.23198,0.36681,0.33149,0.25912,0.07031,2.46327,2.35153,1.33543,0.00150197,0.00150197,0.00150197
12,430.481,2.14056,1.58561,1.18109,0.38947,0.30386,0.27468,0.0775,2.5153,2.85834,1.34933,0.00148546,0.00148546,0.00148546
13,463.539,2.11395,1.5657,1.20249,0.52806,0.43889,0.43625,0.13725,2.32421,1.995,1.29437,0.00146896,0.00146896,0.00146896
14,496.622,2.0898,1.58934,1.19565,0.47153,0.38649,0.37489,0.12699,2.22212,2.19874,1.2687,0.00145246,0.00145246,0.00145246
15,529.582,2.09402,1.5428,1.1865,0.4714,0.32628,0.35939,0.10526,2.45354,2.14885,1.32953,0.00143595,0.00143595,0.00143595
16,562.534,2.04297,1.46671,1.17027,0.46533,0.41327,0.36404,0.10878,2.41554,2.10363,1.32666,0.00141945,0.00141945,0.00141945
17,595.461,2.0486,1.47596,1.15106,0.4463,0.35166,0.34353,0.10972,2.37796,2.10689,1.26934,0.00140295,0.00140295,0.00140295
18,628.321,2.00951,1.44744,1.16169,0.46825,0.43953,0.37698,0.12862,2.15061,2.01071,1.22967,0.00138644,0.00138644,0.00138644
19,661.169,2.01146,1.41913,1.14957,0.4822,0.41993,0.37422,0.11923,2.34365,2.06214,1.27761,0.00136994,0.00136994,0.00136994
20,694.059,2.00413,1.42188,1.15448,0.58909,0.42746,0.43061,0.13382,2.29131,1.97124,1.26597,0.00135344,0.00135344,0.00135344
21,727.009,1.98745,1.37291,1.14772,0.46209,0.40066,0.37332,0.12998,2.19555,2.07098,1.24369,0.00133693,0.00133693,0.00133693
22,759.864,1.97332,1.3666,1.14226,0.5394,0.45254,0.4496,0.16608,2.13324,2.00056,1.27547,0.00132043,0.00132043,0.00132043
23,792.709,1.94545,1.34626,1.12132,0.50647,0.39593,0.36334,0.12192,2.24672,2.08805,1.20957,0.00130393,0.00130393,0.00130393
24,825.681,1.92458,1.38205,1.12965,0.46377,0.44401,0.40119,0.14602,2.138,2.07001,1.23149,0.00128742,0.00128742,0.00128742
25,858.583,1.94694,1.35526,1.12634,0.43723,0.40009,0.3444,0.10831,2.35747,2.30574,1.29474,0.00127092,0.00127092,0.00127092
26,891.495,1.93039,1.31353,1.13066,0.53534,0.43796,0.42544,0.14971,2.23827,1.92001,1.2355,0.00125442,0.00125442,0.00125442
27,924.36,1.92759,1.31816,1.11854,0.46935,0.41502,0.39178,0.13082,2.28411,2.03206,1.27267,0.00123791,0.00123791,0.00123791
28,957.182,1.92786,1.30419,1.11675,0.56343,0.3963,0.40143,0.13241,2.26336,2.14302,1.22478,0.00122141,0.00122141,0.00122141
29,989.982,1.91405,1.33146,1.11171,0.57346,0.43945,0.44326,0.16281,2.19543,1.84256,1.2148,0.00120491,0.00120491,0.00120491
30,1022.84,1.85182,1.24405,1.08662,0.58228,0.41886,0.4503,0.17506,2.09658,2.05803,1.22256,0.0011884,0.0011884,0.0011884
31,1055.83,1.88017,1.30536,1.10493,0.55493,0.44811,0.44238,0.16216,2.16561,2.01302,1.25016,0.0011719,0.0011719,0.0011719
32,1088.64,1.82008,1.23458,1.08377,0.58747,0.50284,0.48547,0.17148,2.22944,1.67056,1.2388,0.0011554,0.0011554,0.0011554
33,1121.6,1.87322,1.27893,1.07539,0.57232,0.45277,0.45189,0.16393,2.11008,2.00785,1.17296,0.00113889,0.00113889,0.00113889
34,1154.42,1.87644,1.24632,1.0829,0.51391,0.42393,0.40388,0.13879,2.19462,2.0428,1.21589,0.00112239,0.00112239,0.00112239
35,1187.18,1.84955,1.28919,1.0867,0.509,0.44572,0.43553,0.16518,2.11169,1.94368,1.18648,0.00110589,0.00110589,0.00110589
36,1220.06,1.86912,1.2537,1.09146,0.47188,0.45957,0.41547,0.1483,2.11369,2.08658,1.19944,0.00108938,0.00108938,0.00108938
