epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.274,2.33458,5.80733,1.22784,0.01899,0.01359,0.00665,0.00198,3.86071,inf,4.64924,0.000552278,0.000552278,0.000552278
2,274.266,2.56857,2.42859,1.31528,0.19134,0.19488,0.09091,0.02873,2.79677,9.73132,1.52905,0.00109698,0.00109698,0.00109698
3,391.071,2.37016,2.1831,1.24931,0.20547,0.12388,0.12214,0.03274,3.0087,3.54427,1.49279,0.00163067,0.00163067,0.00163067
4,508.061,2.35049,2.05013,1.23325,0.36315,0.28315,0.23708,0.07,2.66771,2.32433,1.42446,0.00161749,0.00161749,0.00161749
5,624.726,2.19522,1.8635,1.21328,0.39733,0.25263,0.21856,0.06921,2.48592,2.76113,1.36111,0.00160099,0.00160099,0.00160099
6,741.295,2.14401,1.78018,1.17978,0.42843,0.31312,0.27989,0.09317,2.43787,2.19535,1.31246,0.00158448,0.00158448,0.00158448
7,858.039,2.07536,1.67267,1.14501,0.4506,0.35583,0.31102,0.10088,2.42204,2.30407,1.34459,0.00156798,0.00156798,0.00156798
8,974.771,2.05333,1.67345,1.15787,0.48238,0.35293,0.31286,0.10955,2.25709,2.13138,1.26786,0.00155148,0.00155148,0.00155148
9,1091.68,2.03597,1.60977,1.13458,0.37343,0.28579,0.25177,0.08362,2.44377,2.82644,1.32973,0.00153497,0.00153497,0.00153497
10,1208.3,1.99187,1.58989,1.13371,0.43592,0.39871,0.29523,0.09953,2.29936,2.09661,1.28045,0.00151847,0.00151847,0.00151847
11,1324.77,1.97342,1.56448,1.12802,0.43745,0.36621,0.34326,0.12474,2.22068,2.0375,1.22891,0.00150197,0.00150197,0.00150197
12,1441.41,1.94153,1.52248,1.11151,0.54537,0.38607,0.36657,0.13322,2.18896,2.15992,1.23499,0.00148546,0.00148546,0.00148546
13,1558.32,1.94582,1.51647,1.11189,0.50866,0.40226,0.38644,0.13509,2.23769,1.90854,1.26674,0.00146896,0.00146896,0.00146896
