epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.235,2.36772,5.98677,1.23209,0,0,0,0,nan,nan,nan,0.000552278,0.000552278,0.000552278
2,269.405,2.63306,2.50997,1.31442,0.17123,0.0231,0.01627,0.00606,nan,nan,nan,0.00109698,0.00109698,0.00109698
3,386.165,2.42507,2.20867,1.22546,0.38149,0.28562,0.21436,0.0571,2.79002,7.67483,1.379,0.00163067,0.00163067,0.00163067
4,502.946,2.41533,2.13422,1.21622,0.34749,0.23544,0.2087,0.0677,2.79105,2.94299,1.3428,0.00161749,0.00161749,0.00161749
5,619.634,2.28105,1.93623,1.20117,0.32271,0.26539,0.20702,0.05413,2.80617,2.66438,1.36235,0.00160099,0.00160099,0.00160099
6,736.18,2.21816,1.8404,1.16657,0.48195,0.25942,0.2641,0.08516,2.807,2.85801,1.42824,0.00158448,0.00158448,0.00158448
7,852.851,2.1281,1.70476,1.13357,0.34095,0.30746,0.25501,0.08011,2.57221,2.67476,1.27863,0.00156798,0.00156798,0.00156798
8,969.294,2.0736,1.65865,1.12476,0.52256,0.37847,0.3972,0.13702,2.27598,1.95362,1.23571,0.00155148,0.00155148,0.00155148
9,1085.91,2.07731,1.61933,1.11316,0.43331,0.33755,0.29221,0.1007,2.39834,2.13429,1.29414,0.00153497,0.00153497,0.00153497
10,1202.34,2.03798,1.59236,1.11212,0.45556,0.44205,0.33252,0.11089,2.33025,2.12593,1.25529,0.00151847,0.00151847,0.00151847
11,1318.78,2.00933,1.55153,1.10901,0.42532,0.42999,0.32015,0.1083,2.33796,2.26578,1.2435,0.00150197,0.00150197,0.00150197
12,1435.27,1.99567,1.51721,1.09997,0.49278,0.3606,0.32852,0.10868,2.36674,2.33357,1.23605,0.00148546,0.00148546,0.00148546
13,1551.61,1.99145,1.50599,1.09671,0.49329,0.39864,0.37189,0.13146,2.23724,2.07844,1.22115,0.00146896,0.00146896,0.00146896
14,1668.05,1.9958,1.50951,1.0909,0.4929,0.43454,0.39922,0.14221,2.23949,1.88156,1.2282,0.00145246,0.00145246,0.00145246
15,1784.56,1.96918,1.46157,1.07901,0.48681,0.43084,0.38206,0.1352,2.20196,2.01372,1.19168,0.00143595,0.00143595,0.00143595
16,1901.03,1.92824,1.41954,1.07114,0.53958,0.44787,0.42181,0.14062,2.25446,1.77186,1.20552,0.00141945,0.00141945,0.00141945
17,2017.56,1.92466,1.39221,1.0736,0.50093,0.45722,0.36781,0.12575,2.34376,1.86457,1.20959,0.00140295,0.00140295,0.00140295
18,2134.01,1.90499,1.41355,1.06332,0.53432,0.51208,0.44316,0.15417,2.25566,1.82562,1.25248,0.00138644,0.00138644,0.00138644
19,2250.57,1.86038,1.3418,1.0527,0.52609,0.39206,0.39495,0.13953,2.31858,2.0564,1.23451,0.00136994,0.00136994,0.00136994
20,2367,1.87319,1.37884,1.05501,0.57558,0.46236,0.42889,0.16018,2.14925,1.82564,1.16559,0.00135344,0.00135344,0.00135344
21,2483.51,1.88781,1.37592,1.06913,0.45343,0.44133,0.36335,0.13327,2.17193,1.98917,1.17224,0.00133693,0.00133693,0.00133693
22,2599.94,1.85678,1.35877,1.04538,0.55408,0.45294,0.44523,0.1607,2.12051,1.79349,1.1709,0.00132043,0.00132043,0.00132043
23,2716.52,1.85524,1.33261,1.05317,0.57391,0.43965,0.43908,0.1515,2.29038,1.88166,1.25341,0.00130393,0.00130393,0.00130393
24,2832.92,1.83439,1.30113,1.05337,0.55913,0.4653,0.42705,0.15985,2.14813,1.82368,1.17065,0.00128742,0.00128742,0.00128742
25,2949.4,1.84141,1.29994,1.03835,0.58167,0.48464,0.45625,0.16983,2.1045,1.74101,1.14895,0.00127092,0.00127092,0.00127092
26,3066.15,1.80959,1.28518,1.03765,0.56441,0.45173,0.4439,0.16121,2.14226,1.80198,1.17622,0.00125442,0.00125442,0.00125442
27,3182.61,1.80532,1.26832,1.03865,0.58158,0.50055,0.46765,0.16071,2.14669,1.79818,1.16152,0.00123791,0.00123791,0.00123791
28,3299,1.81793,1.26674,1.04343,0.49512,0.40479,0.36023,0.12569,2.20138,2.19901,1.16967,0.00122141,0.00122141,0.00122141
29,3415.51,1.78717,1.27395,1.03513,0.55397,0.46646,0.42133,0.15335,2.09381,1.95639,1.17546,0.00120491,0.00120491,0.00120491
30,3531.92,1.76343,1.2136,1.02615,0.61488,0.4888,0.47677,0.16388,2.12823,1.76332,1.14167,0.0011884,0.0011884,0.0011884
31,3648.37,1.78475,1.2503,1.03813,0.57122,0.45996,0.44551,0.15877,2.17205,1.90656,1.22174,0.0011719,0.0011719,0.0011719
32,3764.84,1.76086,1.22095,1.01945,0.6352,0.46284,0.4941,0.18074,2.0491,1.66606,1.12706,0.0011554,0.0011554,0.0011554
33,3881.56,1.79545,1.22676,1.02496,0.57854,0.48506,0.48302,0.1673,2.1446,1.72341,1.16402,0.00113889,0.00113889,0.00113889
34,3997.98,1.7791,1.23671,1.03081,0.54587,0.50476,0.44684,0.15706,2.12267,1.70398,1.18884,0.00112239,0.00112239,0.00112239
35,4114.61,1.74216,1.18647,1.01143,0.52532,0.48496,0.42696,0.14836,2.1227,1.92023,1.13736,0.00110589,0.00110589,0.00110589
36,4231.13,1.74534,1.20276,1.01567,0.55784,0.41317,0.38768,0.13283,2.15355,1.98304,1.16278,0.00108938,0.00108938,0.00108938
37,4347.66,1.7329,1.19383,1.01527,0.50977,0.43614,0.4147,0.1463,2.10998,1.90207,1.13306,0.00107288,0.00107288,0.00107288
38,4464.06,1.73871,1.18049,1.01004,0.59888,0.4898,0.48621,0.17152,2.11718,1.73501,1.16795,0.00105638,0.00105638,0.00105638
39,4580.35,1.72504,1.15138,1.01013,0.57082,0.47654,0.47877,0.1769,2.02617,1.69735,1.13822,0.00103987,0.00103987,0.00103987
40,4696.73,1.69649,1.13603,0.9989,0.53553,0.49484,0.44433,0.15752,2.10336,1.71317,1.1418,0.00102337,0.00102337,0.00102337
