epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,363.942,1.10988,1.2949,0.14434,0.46296,0.46159,0.44332,0.19291,0.78608,0.53257,0.04946,0.00055482,0.00055482,0.00055482
2,722,0.89403,0.49997,0.06254,0.57813,0.46949,0.48293,0.17255,0.9186,0.47777,0.05748,0.00109949,0.00109949,0.00109949
3,1077.97,0.89467,0.48775,0.057,0.57777,0.39207,0.47143,0.2072,0.80177,0.52903,0.05527,0.00163316,0.00163316,0.00163316
4,1433.09,0.93126,0.50587,0.06709,0.55723,0.47905,0.49345,0.1998,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,1787.66,0.91638,0.49813,0.06553,0.47415,0.30724,0.37401,0.15793,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,2140.93,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00158448,0.00158448,0.00158448
7,2490.21,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00156798,0.00156798,0.00156798
8,2838.86,2.16248,0.6466,0.57156,0,0,0,0,nan,nan,nan,0.00155148,0.00155148,0.00155148
9,3185.38,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00153497,0.00153497,0.00153497
10,3531.63,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00151847,0.00151847,0.00151847
11,3877.93,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00150197,0.00150197,0.00150197
12,4223.93,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00148546,0.00148546,0.00148546
13,4570.03,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00146896,0.00146896,0.00146896
14,4915.96,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00145246,0.00145246,0.00145246
15,5261.92,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00143595,0.00143595,0.00143595
16,5607.83,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00141945,0.00141945,0.00141945
17,5953.67,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00140295,0.00140295,0.00140295
18,6299.63,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00138644,0.00138644,0.00138644
19,6645.74,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00136994,0.00136994,0.00136994
20,6991.59,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00135344,0.00135344,0.00135344
21,7337.21,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00133693,0.00133693,0.00133693
22,7683.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00132043,0.00132043,0.00132043
23,8029.17,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00130393,0.00130393,0.00130393
24,8374.76,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00128742,0.00128742,0.00128742
25,8720.39,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00127092,0.00127092,0.00127092
26,9065.89,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00125442,0.00125442,0.00125442
27,9411.23,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00123791,0.00123791,0.00123791
28,9756.72,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00122141,0.00122141,0.00122141
29,10102.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00120491,0.00120491,0.00120491
30,10448.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0011884,0.0011884,0.0011884
31,10793.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0011719,0.0011719,0.0011719
32,11139.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0011554,0.0011554,0.0011554
33,11474.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00113889,0.00113889,0.00113889
34,11810.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00112239,0.00112239,0.00112239
35,12145.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00110589,0.00110589,0.00110589
36,12480.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00108938,0.00108938,0.00108938
37,12815.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00107288,0.00107288,0.00107288
38,13151,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00105638,0.00105638,0.00105638
39,13486.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00103987,0.00103987,0.00103987
40,13821.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00102337,0.00102337,0.00102337
41,14157,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00100687,0.00100687,0.00100687
42,14492.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000990365,0.000990365,0.000990365
43,14827.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000973861,0.000973861,0.000973861
44,15162.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000957358,0.000957358,0.000957358
45,15497.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000940855,0.000940855,0.000940855
46,15833.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000924352,0.000924352,0.000924352
47,16168.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000907848,0.000907848,0.000907848
48,16503.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000891345,0.000891345,0.000891345
49,16839.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000874842,0.000874842,0.000874842
50,17175,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000858338,0.000858338,0.000858338
51,17510.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000841835,0.000841835,0.000841835
52,17845.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000825332,0.000825332,0.000825332
53,18180.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000808828,0.000808828,0.000808828
