epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1058.28,1.10951,1.14804,0.13664,0.65649,0.52802,0.53883,0.19853,0.90386,0.47919,0.05996,0.000555304,0.000555304,0.000555304
2,2104.64,0.94253,0.51901,0.05149,0.58591,0.58148,0.54603,0.22066,0.82857,0.51516,0.04946,0.00109997,0.00109997,0.00109997
3,3147.34,0.92896,0.48113,0.04715,0.63662,0.54096,0.55051,0.21477,0.83726,0.49295,0.04314,0.00163364,0.00163364,0.00163364
4,4189,0.96085,0.48535,0.05132,0.62916,0.49419,0.51947,0.20794,0.8777,0.48715,0.04671,0.00161749,0.00161749,0.00161749
5,5235.04,0.96916,0.47974,0.05177,0.5917,0.55883,0.55732,0.22353,0.89701,0.54118,0.06675,0.00160099,0.00160099,0.00160099
6,6280.11,0.97662,0.50056,0.05558,0.63955,0.56625,0.56302,0.23195,0.83007,0.49947,0.04337,0.00158448,0.00158448,0.00158448
7,7324.15,0.91615,0.4871,0.04638,0.61502,0.56981,0.54754,0.21909,0.82816,0.47947,0.04593,0.00156798,0.00156798,0.00156798
8,8368.13,0.95796,0.48805,0.05248,0.6123,0.55618,0.53755,0.21315,0.86908,0.51219,0.05757,0.00155148,0.00155148,0.00155148
9,9410.42,0.91967,0.47817,0.04568,0.66987,0.5612,0.57475,0.2371,0.83654,0.51586,0.04821,0.00153497,0.00153497,0.00153497
10,10452.8,0.9106,0.46012,0.04137,0.721,0.54965,0.59962,0.24261,0.82235,0.51157,0.04141,0.00151847,0.00151847,0.00151847
11,11493.7,0.89035,0.48826,0.04143,0.65655,0.56462,0.57442,0.21347,0.8711,0.46535,0.04378,0.00150197,0.00150197,0.00150197
12,12535.7,0.8605,0.47091,0.0391,0.68858,0.64127,0.64772,0.26828,0.76609,0.48672,0.03712,0.00148546,0.00148546,0.00148546
13,13577.6,0.86102,0.47029,0.03784,0.6954,0.57934,0.63153,0.26793,0.74236,0.51886,0.03892,0.00146896,0.00146896,0.00146896
14,14619.1,0.85562,0.47301,0.03634,0.69361,0.60625,0.61011,0.24713,0.77579,0.51158,0.03864,0.00145246,0.00145246,0.00145246
15,15660.9,0.8464,0.47385,0.03686,0.70043,0.61691,0.63402,0.25492,0.78402,0.5058,0.04062,0.00143595,0.00143595,0.00143595
16,16702.9,0.87147,0.46587,0.03994,0.67081,0.63974,0.64,0.26276,0.7884,0.48496,0.04147,0.00141945,0.00141945,0.00141945
17,17744.8,0.84694,0.48133,0.03735,0.67284,0.61295,0.63662,0.25521,0.76119,0.52665,0.03854,0.00140295,0.00140295,0.00140295
18,18787.2,0.84796,0.49508,0.03758,0.70705,0.56803,0.60975,0.23422,0.79591,0.51937,0.04553,0.00138644,0.00138644,0.00138644
19,19829.8,0.84089,0.46975,0.03648,0.68606,0.5849,0.6132,0.25923,0.77414,0.49831,0.03983,0.00136994,0.00136994,0.00136994
20,20871.5,0.88278,0.47612,0.04221,0.73549,0.57799,0.61773,0.24451,0.83228,0.49625,0.05771,0.00135344,0.00135344,0.00135344
21,21912.9,0.86731,0.47175,0.04032,0.67781,0.564,0.59841,0.24693,0.78554,0.51705,0.04417,0.00133693,0.00133693,0.00133693
22,22954.5,0.85124,0.47596,0.03901,0.70536,0.60643,0.62005,0.24705,0.81002,0.49508,0.05123,0.00132043,0.00132043,0.00132043
23,23996.6,0.85797,0.46676,0.03772,0.72235,0.62544,0.67036,0.28423,0.7356,0.50555,0.04212,0.00130393,0.00130393,0.00130393
24,25038,0.83651,0.46753,0.03811,0.72376,0.5761,0.61774,0.24601,0.76894,0.50592,0.04109,0.00128742,0.00128742,0.00128742
25,26079.2,0.85896,0.4617,0.03657,0.7034,0.64303,0.64491,0.26205,0.77076,0.48065,0.04024,0.00127092,0.00127092,0.00127092
26,27121.2,0.82963,0.46144,0.03571,0.68666,0.6113,0.62383,0.25041,0.77633,0.50485,0.04006,0.00125442,0.00125442,0.00125442
27,28163.4,0.83876,0.45875,0.03633,0.73689,0.65349,0.68595,0.29258,0.71577,0.49893,0.03827,0.00123791,0.00123791,0.00123791
28,29204.4,0.8311,0.47317,0.03641,0.66528,0.61475,0.60868,0.24462,0.79491,0.49396,0.04783,0.00122141,0.00122141,0.00122141
29,30244.4,0.84579,0.46838,0.03802,0.6874,0.58727,0.61599,0.23089,0.79477,0.50315,0.03859,0.00120491,0.00120491,0.00120491
