epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,587.876,1.04131,1.25617,0.14175,0.50838,0.44217,0.42631,0.14663,0.90233,0.48028,0.05917,0.000555243,0.000555243,0.000555243
2,1165.15,0.81483,0.53349,0.04465,0.50108,0.49935,0.45292,0.15688,0.88836,0.48466,0.05286,0.00109991,0.00109991,0.00109991
3,1750.36,0.78422,0.50081,0.04029,0.50014,0.47121,0.42423,0.14581,0.86735,0.50532,0.04924,0.00163358,0.00163358,0.00163358
4,2321.45,0.78189,0.51447,0.03973,0.60032,0.54941,0.51446,0.19933,0.7847,0.50445,0.03969,0.00161749,0.00161749,0.00161749
5,2888.52,0.79497,0.4894,0.03854,0.63216,0.52402,0.55629,0.22093,0.81731,0.50045,0.05217,0.00160099,0.00160099,0.00160099
6,3455.56,0.76946,0.4787,0.03478,0.57718,0.59141,0.58033,0.23765,0.73918,0.52618,0.03786,0.00158448,0.00158448,0.00158448
7,4022.13,0.75437,0.47753,0.03322,0.58491,0.54104,0.50654,0.18228,0.7939,0.53386,0.03808,0.00156798,0.00156798,0.00156798
8,4588.53,0.74561,0.48631,0.0324,0.56936,0.54192,0.54066,0.21649,0.7471,0.52342,0.03721,0.00155148,0.00155148,0.00155148
9,5155.54,0.74512,0.48574,0.03487,0.46488,0.55458,0.52053,0.19293,0.78006,0.53966,0.04045,0.00153497,0.00153497,0.00153497
10,5721.51,0.73706,0.49758,0.03348,0.56852,0.52557,0.50039,0.19515,0.75061,0.54126,0.04254,0.00151847,0.00151847,0.00151847
11,6288.14,0.7332,0.4831,0.03208,0.58536,0.57124,0.53099,0.21949,0.76034,0.51023,0.04409,0.00150197,0.00150197,0.00150197
12,6854.8,0.72053,0.4845,0.02993,0.60718,0.52998,0.55546,0.22885,0.74468,0.53648,0.03976,0.00148546,0.00148546,0.00148546
13,7421.41,0.73242,0.47883,0.03106,0.62406,0.59388,0.5907,0.24391,0.74052,0.51237,0.03678,0.00146896,0.00146896,0.00146896
14,7988.54,0.73523,0.48146,0.03146,0.54788,0.40165,0.39101,0.11464,0.88755,0.50036,0.05518,0.00145246,0.00145246,0.00145246
15,8555.3,0.70818,0.47914,0.03032,0.5381,0.51963,0.49003,0.1837,0.80081,0.5464,0.04682,0.00143595,0.00143595,0.00143595
16,9121.75,0.70386,0.47324,0.02899,0.58267,0.53109,0.53035,0.20738,0.7631,0.53919,0.03962,0.00141945,0.00141945,0.00141945
17,9688.71,0.69226,0.47789,0.02918,0.6395,0.49623,0.50187,0.18312,0.83568,0.52226,0.04886,0.00140295,0.00140295,0.00140295
18,10255.7,0.71166,0.48633,0.0304,0.58367,0.47105,0.5074,0.18725,0.80361,0.56501,0.04637,0.00138644,0.00138644,0.00138644
19,10823.9,0.70516,0.47144,0.02964,0.57451,0.49055,0.46537,0.16126,0.81946,0.53909,0.04583,0.00136994,0.00136994,0.00136994
20,11392,0.69268,0.47962,0.0294,0.59323,0.52403,0.50628,0.19854,0.75452,0.55459,0.04314,0.00135344,0.00135344,0.00135344
21,11959.8,0.69898,0.47839,0.02982,0.65523,0.51546,0.54528,0.22446,0.74783,0.54131,0.04248,0.00133693,0.00133693,0.00133693
22,12528.1,0.67579,0.48351,0.0267,0.64746,0.61492,0.61548,0.25483,0.75358,0.51807,0.04215,0.00132043,0.00132043,0.00132043
23,13096.1,0.68299,0.48919,0.02802,0.5846,0.58189,0.58684,0.24946,0.72938,0.54469,0.0361,0.00130393,0.00130393,0.00130393
24,13664.7,0.74043,0.5306,0.03527,0.57883,0.48483,0.47041,0.16484,0.79862,0.52266,0.04978,0.00128742,0.00128742,0.00128742
25,14232.9,0.70755,0.48771,0.02935,0.61683,0.56994,0.55202,0.20157,0.81366,0.50657,0.04518,0.00127092,0.00127092,0.00127092
26,14800.9,0.73812,0.47015,0.02898,0.63198,0.5711,0.58374,0.23723,0.74271,0.5269,0.04001,0.00125442,0.00125442,0.00125442
27,15368.3,0.69002,0.48779,0.02729,0.62795,0.54386,0.54715,0.21838,0.74942,0.51297,0.04009,0.00123791,0.00123791,0.00123791
28,15935.5,0.68918,0.49031,0.02972,0.59797,0.52716,0.53493,0.21301,0.75994,0.53961,0.04413,0.00122141,0.00122141,0.00122141
29,16502.4,0.71123,0.50304,0.03136,0.60542,0.5612,0.53165,0.21802,0.7326,0.52574,0.03708,0.00120491,0.00120491,0.00120491
30,17070.2,0.71142,0.48103,0.03028,0.61418,0.49633,0.51122,0.19377,0.80319,0.52104,0.04295,0.0011884,0.0011884,0.0011884
31,17637.8,0.66931,0.48527,0.02862,0.65505,0.54887,0.56255,0.22012,0.75303,0.52956,0.03857,0.0011719,0.0011719,0.0011719
32,18205,0.6857,0.47554,0.02928,0.60746,0.57577,0.56214,0.22647,0.7424,0.51957,0.03858,0.0011554,0.0011554,0.0011554
33,18772.5,0.68687,0.47904,0.02884,0.57034,0.59869,0.57989,0.24376,0.74273,0.53631,0.04195,0.00113889,0.00113889,0.00113889
34,19339.8,0.6886,0.49236,0.02787,0.66791,0.52855,0.56827,0.23051,0.73743,0.56454,0.04014,0.00112239,0.00112239,0.00112239
35,19907.9,0.66132,0.48892,0.0264,0.53323,0.39473,0.36238,0.11139,0.95691,0.52604,0.0541,0.00110589,0.00110589,0.00110589
36,20475.6,0.66215,0.48204,0.02693,0.62289,0.54454,0.55417,0.21133,0.7667,0.51616,0.04399,0.00108938,0.00108938,0.00108938
37,21046.3,0.65199,0.47831,0.02677,0.69116,0.56844,0.63117,0.28028,0.71961,0.52227,0.03816,0.00107288,0.00107288,0.00107288
38,21614.9,0.68607,0.46938,0.02662,0.70032,0.53542,0.5789,0.24388,0.73663,0.54458,0.03955,0.00105638,0.00105638,0.00105638
39,22182.2,0.64565,0.4612,0.02497,0.62561,0.56375,0.58077,0.2456,0.72702,0.54718,0.03999,0.00103987,0.00103987,0.00103987
40,22749.4,0.64145,0.46905,0.0245,0.53104,0.49639,0.41427,0.14098,0.90081,0.5246,0.04854,0.00102337,0.00102337,0.00102337
41,23316.5,0.64285,0.47787,0.0256,0.63065,0.5394,0.51984,0.19251,0.76646,0.54503,0.04676,0.00100687,0.00100687,0.00100687
42,23883.7,0.66024,0.47751,0.0254,0.65596,0.56008,0.57967,0.23392,0.74094,0.54275,0.03926,0.000990365,0.000990365,0.000990365
43,24450.9,0.63745,0.4824,0.02565,0.61027,0.55387,0.54866,0.22151,0.75476,0.53601,0.03949,0.000973861,0.000973861,0.000973861
44,25021.1,0.64913,0.47415,0.02471,0.61293,0.5872,0.58828,0.24909,0.73639,0.54203,0.03851,0.000957358,0.000957358,0.000957358
45,25588.6,0.63131,0.46862,0.02521,0.64075,0.52097,0.55453,0.23715,0.72727,0.54641,0.03725,0.000940855,0.000940855,0.000940855
