epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,545.196,1.41526,1.35279,0.2243,0.56001,0.57498,0.48536,0.16386,0.98436,0.44309,0.04771,0.000554917,0.000554917,0.000554917
2,1080.24,1.14764,0.44002,0.07919,0.54888,0.46722,0.39988,0.15483,0.98924,0.45315,0.0359,0.00110325,0.00110325,0.00110325
3,1612.56,1.12062,0.43453,0.07809,0.54011,0.51305,0.46109,0.16828,0.99439,0.43044,0.03677,0.00164426,0.00164426,0.00164426
4,2145.39,1.07778,0.43555,0.05786,0.57007,0.56218,0.49308,0.17836,0.98853,0.43089,0.03643,0.00163399,0.00163399,0.00163399
5,2676.95,1.04382,0.42865,0.05731,0.64554,0.63895,0.61343,0.23885,0.8373,0.50616,0.03007,0.00162299,0.00162299,0.00162299
6,3208.36,1.03723,0.43653,0.05758,0.55685,0.51028,0.47479,0.18485,1.00266,0.42103,0.03753,0.00161199,0.00161199,0.00161199
7,3739.37,1.01929,0.46598,0.0508,0.61313,0.57864,0.54281,0.21119,0.90342,0.44636,0.0287,0.00160099,0.00160099,0.00160099
8,4270.57,1.06582,0.42478,0.06234,0.60006,0.5588,0.51398,0.1947,0.96681,0.42408,0.03374,0.00158998,0.00158998,0.00158998
9,4802,1.0372,0.44104,0.06538,0.63352,0.54998,0.51695,0.19841,0.98084,0.43153,0.04214,0.00157898,0.00157898,0.00157898
10,5332.23,1.02216,0.43444,0.05613,0.64224,0.59756,0.55539,0.20093,0.89471,0.456,0.02671,0.00156798,0.00156798,0.00156798
11,5861.89,1.02141,0.44445,0.05474,0.57023,0.51657,0.47495,0.17055,1.0138,0.41073,0.03128,0.00155698,0.00155698,0.00155698
12,6391.89,1.00591,0.42839,0.04574,0.64673,0.62946,0.59833,0.22847,0.86153,0.45572,0.0278,0.00154598,0.00154598,0.00154598
13,6922.23,0.98053,0.44176,0.05065,0.58102,0.54015,0.49728,0.18015,0.94938,0.43517,0.03031,0.00153497,0.00153497,0.00153497
14,7452.63,0.99357,0.4449,0.04642,0.62474,0.60502,0.56762,0.22368,0.88278,0.46054,0.02886,0.00152397,0.00152397,0.00152397
15,7983.79,0.95649,0.44072,0.04416,0.64667,0.61957,0.59082,0.22063,0.87733,0.44028,0.03395,0.00151297,0.00151297,0.00151297
16,8496.99,0.95852,0.44036,0.04394,0.66402,0.60085,0.57992,0.22449,0.88436,0.44218,0.02653,0.00150197,0.00150197,0.00150197
17,9006.7,0.93256,0.44514,0.03957,0.67438,0.5997,0.5823,0.21495,0.89703,0.474,0.02892,0.00149096,0.00149096,0.00149096
18,9516.6,0.96781,0.43628,0.04582,0.65998,0.59042,0.56208,0.22227,0.8838,0.45479,0.03139,0.00147996,0.00147996,0.00147996
19,10026.1,0.97436,0.44537,0.0492,0.66468,0.65546,0.61963,0.24853,0.81974,0.47195,0.02593,0.00146896,0.00146896,0.00146896
20,10537.8,0.94925,0.44341,0.04345,0.68502,0.64563,0.631,0.25214,0.83039,0.46156,0.02614,0.00145796,0.00145796,0.00145796
21,11048,0.94066,0.43655,0.04268,0.58955,0.58727,0.55091,0.21728,0.86439,0.47018,0.02651,0.00144696,0.00144696,0.00144696
22,11557.8,0.96995,0.44095,0.04406,0.68977,0.65999,0.62667,0.26507,0.80845,0.48268,0.02882,0.00143595,0.00143595,0.00143595
23,12068.8,0.94315,0.43334,0.04085,0.6922,0.59468,0.57825,0.21894,0.88565,0.44835,0.03219,0.00142495,0.00142495,0.00142495
24,12579.3,0.95185,0.43772,0.04177,0.66999,0.60203,0.5975,0.21921,0.85519,0.46987,0.02793,0.00141395,0.00141395,0.00141395
25,13089.3,0.94444,0.43439,0.04081,0.68184,0.64851,0.62488,0.24839,0.81417,0.48044,0.02699,0.00140295,0.00140295,0.00140295
26,13599.5,0.95146,0.42837,0.03899,0.65616,0.64938,0.58262,0.2296,0.82738,0.47426,0.02579,0.00139195,0.00139195,0.00139195
27,14109.4,0.92035,0.45152,0.03564,0.7,0.61274,0.5864,0.21621,0.82494,0.48032,0.02787,0.00138094,0.00138094,0.00138094
28,14619.6,0.91855,0.44305,0.03853,0.68621,0.63233,0.59943,0.23486,0.84309,0.46744,0.02553,0.00136994,0.00136994,0.00136994
29,15129.5,0.94662,0.45595,0.0425,0.65492,0.59216,0.57603,0.21689,0.86418,0.46574,0.02799,0.00135894,0.00135894,0.00135894
30,15641.4,0.9306,0.44536,0.0415,0.6711,0.66623,0.61191,0.24214,0.82866,0.47074,0.0267,0.00134794,0.00134794,0.00134794
31,16152.7,0.92698,0.43544,0.04166,0.70433,0.64042,0.63691,0.25471,0.80782,0.4807,0.0257,0.00133693,0.00133693,0.00133693
32,16663.9,0.91955,0.44497,0.03743,0.65537,0.66897,0.63702,0.27228,0.77874,0.49519,0.02486,0.00132593,0.00132593,0.00132593
33,17176.2,0.89851,0.44352,0.03406,0.63929,0.62562,0.59495,0.23769,0.83715,0.4576,0.02676,0.00131493,0.00131493,0.00131493
34,17687,0.9452,0.4375,0.03808,0.55563,0.56761,0.51056,0.17884,0.9744,0.4239,0.03108,0.00130393,0.00130393,0.00130393
35,18197.5,0.92743,0.44069,0.03689,0.69884,0.64345,0.62569,0.25839,0.77633,0.50487,0.02372,0.00129293,0.00129293,0.00129293
36,18707.8,0.91846,0.44959,0.04003,0.67165,0.61014,0.60455,0.25076,0.83096,0.47628,0.03198,0.00128192,0.00128192,0.00128192
37,19218.6,0.94067,0.45463,0.04314,0.64168,0.60142,0.57523,0.2267,0.81402,0.4973,0.02627,0.00127092,0.00127092,0.00127092
38,19730.1,0.94656,0.46877,0.04279,0.57488,0.57855,0.50379,0.18594,0.9076,0.46316,0.02918,0.00125992,0.00125992,0.00125992
39,20239.8,1.0968,0.46665,0.07611,0.55014,0.59423,0.52781,0.1991,0.93816,0.45487,0.03287,0.00124892,0.00124892,0.00124892
40,20749.6,1.02448,0.45413,0.0547,0.63807,0.60761,0.57298,0.21164,0.88452,0.47628,0.03507,0.00123791,0.00123791,0.00123791
41,21259.4,1.00692,0.46659,0.05787,0.61801,0.60085,0.53676,0.21675,0.87632,0.46813,0.03405,0.00122691,0.00122691,0.00122691
42,21768.7,0.96288,0.46072,0.04701,0.64493,0.6241,0.57721,0.22187,0.87638,0.45148,0.03264,0.00121591,0.00121591,0.00121591
43,22278.1,0.95954,0.45107,0.04845,0.65535,0.583,0.55229,0.19284,0.88192,0.4763,0.03317,0.00120491,0.00120491,0.00120491
44,22788.1,0.96367,0.45116,0.04852,0.54224,0.43613,0.42214,0.15186,1.15549,0.41639,0.07373,0.00119391,0.00119391,0.00119391
45,23297.3,1.08423,0.46103,0.07729,0.58148,0.57183,0.50541,0.17714,0.90893,0.48782,0.03573,0.0011829,0.0011829,0.0011829
46,23806.2,1.05675,0.46755,0.06605,0.63752,0.60651,0.56434,0.23091,0.84416,0.47016,0.02956,0.0011719,0.0011719,0.0011719
47,24315.5,1.01833,0.4552,0.05615,0.66601,0.61691,0.57961,0.22155,0.87406,0.46285,0.03176,0.0011609,0.0011609,0.0011609
48,24824.4,0.97926,0.45791,0.05478,0.65128,0.63106,0.58453,0.22643,0.82456,0.49765,0.02734,0.0011499,0.0011499,0.0011499
49,25333.1,0.98144,0.46693,0.04999,0.61861,0.61917,0.58129,0.22853,0.82388,0.49389,0.02504,0.00113889,0.00113889,0.00113889
50,25841.9,0.96526,0.44762,0.04772,0.67722,0.66822,0.63838,0.26137,0.78825,0.47256,0.02575,0.00112789,0.00112789,0.00112789
51,26350.4,0.95906,0.45055,0.0457,0.68417,0.57143,0.53637,0.2113,0.8952,0.53089,0.03871,0.00111689,0.00111689,0.00111689
52,26858.7,0.94982,0.44541,0.04544,0.68093,0.64504,0.62701,0.25211,0.79489,0.4793,0.02443,0.00110589,0.00110589,0.00110589
53,27367.2,0.99833,0.44375,0.05051,0.66044,0.61402,0.57854,0.22807,0.84671,0.49013,0.03245,0.00109489,0.00109489,0.00109489
54,27875.8,0.97661,0.45501,0.05074,0.66153,0.61226,0.59741,0.23585,0.84198,0.46775,0.02899,0.00108388,0.00108388,0.00108388
55,28384.3,0.96746,0.45876,0.04827,0.67062,0.63989,0.6088,0.2283,0.85296,0.45267,0.02894,0.00107288,0.00107288,0.00107288
56,28892.8,1.03864,0.43736,0.06255,0.62502,0.60686,0.55089,0.20477,0.9211,0.45744,0.03607,0.00106188,0.00106188,0.00106188
57,29401,0.99844,0.45416,0.05336,0.64795,0.63888,0.58772,0.2312,0.8316,0.45826,0.02636,0.00105088,0.00105088,0.00105088
58,29909,0.95535,0.45404,0.04849,0.64388,0.66265,0.62495,0.25468,0.79073,0.47848,0.02439,0.00103987,0.00103987,0.00103987
59,30417.2,0.92597,0.46379,0.04334,0.63217,0.64697,0.59431,0.22726,0.8375,0.45903,0.02823,0.00102887,0.00102887,0.00102887
60,30925.3,0.92665,0.45347,0.04199,0.69407,0.66538,0.63831,0.25752,0.78921,0.46979,0.02457,0.00101787,0.00101787,0.00101787
61,31433.4,0.92018,0.45486,0.03681,0.66677,0.64891,0.6043,0.23726,0.81961,0.46132,0.02535,0.00100687,0.00100687,0.00100687
62,31941.5,0.92157,0.45559,0.04438,0.64414,0.63793,0.6018,0.24501,0.84082,0.4533,0.02685,0.000995866,0.000995866,0.000995866
