epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.911,2.82829,4.65295,1.24968,0.38311,0.21259,0.20934,0.07645,2.61514,2.42137,1.21126,0.000554169,0.000554169,0.000554169
2,297.154,2.93028,2.64099,1.29586,0.1024,0.16766,0.09468,0.03414,2.82497,3.55708,1.21466,0.00110251,0.00110251,0.00110251
3,443.304,2.85266,2.43249,1.25586,0.62168,0.13284,0.22873,0.07579,2.66134,3.31165,1.20118,0.00164352,0.00164352,0.00164352
4,589.235,2.76008,2.35647,1.21637,0.3657,0.32136,0.26616,0.07885,2.58568,1.77344,1.15921,0.00163399,0.00163399,0.00163399
5,735.063,2.69723,2.25334,1.21554,0.5136,0.32475,0.30185,0.10255,2.42148,1.87074,1.15802,0.00162299,0.00162299,0.00162299
6,880.996,2.63525,2.10264,1.17802,0.46023,0.26213,0.24639,0.07848,2.57203,2.02687,1.17757,0.00161199,0.00161199,0.00161199
7,1026.58,2.55999,2.06303,1.17302,0.40642,0.11588,0.13041,0.0407,2.86161,4.29596,1.22104,0.00160099,0.00160099,0.00160099
8,1172.09,2.56351,2.07463,1.15852,0.45792,0.36936,0.33069,0.12562,2.2037,1.57051,1.08099,0.00158998,0.00158998,0.00158998
9,1317.73,2.50524,1.94699,1.14006,0.51379,0.33987,0.32734,0.10924,2.37732,1.70506,1.14159,0.00157898,0.00157898,0.00157898
10,1463.3,2.50287,1.94475,1.14721,0.53907,0.27783,0.27931,0.10758,2.50966,2.29643,1.14415,0.00156798,0.00156798,0.00156798
11,1608.82,2.47871,1.90917,1.12073,0.55933,0.37424,0.36141,0.12998,2.35162,1.63385,1.1104,0.00155698,0.00155698,0.00155698
12,1754.46,2.45069,1.85734,1.12482,0.42489,0.12936,0.16189,0.05181,2.57209,3.33376,1.11697,0.00154598,0.00154598,0.00154598
13,1899.98,2.41883,1.74519,1.10357,0.52235,0.4071,0.37326,0.14138,2.20227,1.43789,1.06933,0.00153497,0.00153497,0.00153497
14,2045.16,2.41779,1.76325,1.1064,0.57074,0.39354,0.39234,0.14672,2.30288,1.43275,1.0989,0.00152397,0.00152397,0.00152397
15,2189.44,2.38638,1.76705,1.09961,0.55338,0.39663,0.3699,0.1227,2.462,1.55804,1.12597,0.00151297,0.00151297,0.00151297
16,2334.57,2.39455,1.73482,1.08132,0.48078,0.40894,0.37916,0.14094,2.15768,1.52991,1.06103,0.00150197,0.00150197,0.00150197
17,2480.16,2.37976,1.65532,1.09613,0.53866,0.32536,0.33801,0.11477,2.3734,1.76282,1.08608,0.00149096,0.00149096,0.00149096
18,2625.74,2.39181,1.6599,1.0978,0.50632,0.41054,0.36952,0.12972,2.26925,1.44302,1.07408,0.00147996,0.00147996,0.00147996
19,2771.33,2.37916,1.64154,1.09169,0.54778,0.44015,0.41511,0.15221,2.17837,1.41728,1.06193,0.00146896,0.00146896,0.00146896
20,2917.04,2.31417,1.6711,1.07917,0.56681,0.434,0.42124,0.15554,2.25909,1.41528,1.09782,0.00145796,0.00145796,0.00145796
21,3063.03,2.35325,1.63975,1.07233,0.57472,0.42524,0.40555,0.14438,2.17684,1.4368,1.04943,0.00144696,0.00144696,0.00144696
22,3212.34,2.31917,1.61344,1.06978,0.57776,0.40989,0.40764,0.14671,2.23412,1.42075,1.07039,0.00143595,0.00143595,0.00143595
23,3359.33,2.30796,1.63396,1.08235,0.52967,0.40915,0.37831,0.14128,2.14855,1.51846,1.0447,0.00142495,0.00142495,0.00142495
24,3503.58,2.24987,1.56009,1.06922,0.58611,0.46562,0.45633,0.17207,2.01556,1.33284,1.03052,0.00141395,0.00141395,0.00141395
25,3648.94,2.26323,1.53324,1.06273,0.56813,0.4458,0.42562,0.15872,2.16714,1.40958,1.05658,0.00140295,0.00140295,0.00140295
26,3794.51,2.2919,1.6105,1.05423,0.5725,0.42912,0.42987,0.15971,2.14449,1.4187,1.03194,0.00139195,0.00139195,0.00139195
27,3940.09,2.28132,1.58162,1.06131,0.56174,0.43119,0.41804,0.15927,2.10898,1.38378,1.03995,0.00138094,0.00138094,0.00138094
28,4085.75,2.27077,1.5576,1.06542,0.53839,0.43136,0.42446,0.15998,2.09375,1.37502,1.0295,0.00136994,0.00136994,0.00136994
29,4231.34,2.24646,1.52098,1.05715,0.55942,0.46228,0.45688,0.16638,2.1313,1.39266,1.05036,0.00135894,0.00135894,0.00135894
30,4376.94,2.23532,1.50815,1.03826,0.57759,0.35465,0.3677,0.13349,2.22093,1.76599,1.04885,0.00134794,0.00134794,0.00134794
31,4522.55,2.19295,1.50306,1.04158,0.52963,0.42973,0.41095,0.14976,2.17837,1.34098,1.06844,0.00133693,0.00133693,0.00133693
32,4668.15,2.22342,1.55653,1.05358,0.56639,0.45398,0.45034,0.16116,2.12054,1.39928,1.04007,0.00132593,0.00132593,0.00132593
33,4813.84,2.19015,1.49367,1.05507,0.57414,0.41276,0.42751,0.16361,2.19172,1.35868,1.04819,0.00131493,0.00131493,0.00131493
34,4959.52,2.25181,1.4948,1.03795,0.56316,0.47625,0.45828,0.17817,2.11415,1.32139,1.05117,0.00130393,0.00130393,0.00130393
35,5105.33,2.23907,1.49649,1.05717,0.62096,0.47957,0.48441,0.18509,2.05493,1.35563,1.03002,0.00129293,0.00129293,0.00129293
36,5251.31,2.23142,1.54928,1.04343,0.5823,0.4713,0.46685,0.18154,2.08354,1.33772,1.04805,0.00128192,0.00128192,0.00128192
37,5396.96,2.19554,1.46364,1.04239,0.60825,0.4693,0.44835,0.15686,2.20861,1.3528,1.04545,0.00127092,0.00127092,0.00127092
38,5542.76,2.19749,1.43403,1.04655,0.59308,0.48634,0.46307,0.1768,2.1063,1.29744,1.04924,0.00125992,0.00125992,0.00125992
39,5688.72,2.21989,1.43943,1.03807,0.55932,0.45532,0.43268,0.16806,2.1182,1.3445,1.03268,0.00124892,0.00124892,0.00124892
40,5836.83,2.14182,1.43979,1.0285,0.59771,0.49082,0.47746,0.17038,2.09017,1.33332,1.04541,0.00123791,0.00123791,0.00123791
