====================================================================================================
YOLO11 EĞİTİM SONUÇLARI (EPOCH LOGGING ENABLED)
====================================================================================================

EĞİTİM KONFİGÜRASYONU:
--------------------------------------------------
Model: yolo11l.pt
Veri Seti: C:/Users/arge.ortak/Desktop/Lens/Datasets/Lens_Kabin_Aralik_Yolo
Epoch Sayısı: 150
Batch Size: 8
Image Size: 1000
Learning Rate: 0.01
LR Final (lrf): 0.01
Weight Decay: 0.0005
Patience: 30
IoU Threshold: 0.25
Conf Threshold: 0.001
Sınıf Sayısı: 2
Augmentation: Aktif
Cihaz: cuda
GPU: NVIDIA RTX A4500

EĞİTİM SÜRESİ:
--------------------------------------------------
Başlangıç: 2026-01-13 09:20:02
Bitiş: 2026-01-13 14:17:17
Toplam Süre: 297.25 dakika

EPOCH GEÇMİŞİ:
====================================================================================================
Epoch   TrainLoss     mAP50    mAP50-95   Precision    Recall            LR   Time(s)
----------------------------------------------------------------------------------------------------
    1      1.9708    0.2093      0.0765      0.3831    0.2126      5.54e-04     150.6
    2      1.5150    0.0947      0.0341      0.1024    0.1677      1.10e-03     147.2
    3      1.6012    0.2287      0.0758      0.6217    0.1328      1.64e-03     146.2
    4      1.7213    0.2662      0.0789      0.3657    0.3214      1.63e-03     146.0
    5      2.7514    0.3019      0.1026      0.5136    0.3247      1.62e-03     145.8
    6      1.5944    0.2464      0.0785      0.4602    0.2621      1.61e-03     145.8
    7      1.2918    0.1304      0.0407      0.4064    0.1159      1.60e-03     145.6
    8      1.7484    0.3307      0.1256      0.4579    0.3694      1.59e-03     145.6
    9      2.0278    0.3273      0.1092      0.5138    0.3399      1.58e-03     145.6
   10      1.3687    0.2793      0.1076      0.5391    0.2778      1.57e-03     145.5
   11      2.2613    0.3614      0.1300      0.5593    0.3742      1.56e-03     145.6
   12      0.0362    0.1619      0.0518      0.4249    0.1294      1.55e-03     145.6
   13      1.8880    0.3733      0.1414      0.5223    0.4071      1.53e-03     145.7
   14      1.4141    0.3923      0.1467      0.5707    0.3935      1.52e-03     145.1
   15      2.3920    0.3699      0.1227      0.5534    0.3966      1.51e-03     144.2
   16      1.1663    0.3792      0.1409      0.4808    0.4089      1.50e-03     145.2
   17      1.3681    0.3380      0.1148      0.5387    0.3254      1.49e-03     145.6
   18      1.9147    0.3695      0.1297      0.5063    0.4105      1.48e-03     145.6
   19      1.0184    0.4151      0.1522      0.5478    0.4401      1.47e-03     145.6
   20      2.9476    0.4212      0.1555      0.5668    0.4340      1.46e-03     145.7
   21      1.5160    0.4056      0.1444      0.5747    0.4252      1.45e-03     145.9
   22      0.2114    0.4076      0.1467      0.5778    0.4099      1.44e-03     149.3
   23      1.4023    0.3783      0.1413      0.5297    0.4092      1.42e-03     146.9
   24      1.2409    0.4563      0.1721      0.5861    0.4656      1.41e-03     144.3
   25      0.0343    0.4256      0.1587      0.5681    0.4458      1.40e-03     145.3
   26      0.9024    0.4299      0.1597      0.5725    0.4291      1.39e-03     145.6
   27      1.2466    0.4180      0.1593      0.5617    0.4312      1.38e-03     145.6
   28      1.8112    0.4245      0.1600      0.5384    0.4314      1.37e-03     145.7
   29      1.5225    0.4569      0.1664      0.5594    0.4623      1.36e-03     145.6
   30      0.0398    0.3677      0.1335      0.5776    0.3547      1.35e-03     145.5
   31      0.9780    0.4109      0.1498      0.5296    0.4297      1.34e-03     145.6
   32      1.4791    0.4503      0.1612      0.5664    0.4540      1.33e-03     145.6
   33      0.0569    0.4275      0.1636      0.5741    0.4128      1.31e-03     145.7
   34      0.0603    0.4583      0.1782      0.5632    0.4763      1.30e-03     145.8
   35      1.1156    0.4844      0.1851      0.6210    0.4796      1.29e-03     145.9
   36      1.7735    0.4668      0.1815      0.5823    0.4713      1.28e-03     145.7
   37      1.2808    0.4484      0.1569      0.6082    0.4693      1.27e-03     145.7
   38      1.2368    0.4631      0.1768      0.5931    0.4863      1.26e-03     145.8
   39      2.8876    0.4327      0.1681      0.5593    0.4553      1.25e-03     145.9
   40      1.5756    0.4775      0.1704      0.5977    0.4908      1.24e-03     148.5
   41      0.0130    0.4752      0.1831      0.6109    0.4718      1.23e-03     149.7
   42      0.0240    0.5000      0.1874      0.6558    0.4812      1.22e-03     148.0
   43      1.1459    0.4633      0.1787      0.5884    0.4795      1.20e-03     147.3
   44      2.2295    0.4855      0.1835      0.6092    0.4968      1.19e-03     147.7
   45      1.1122    0.4761      0.1886      0.6729    0.4448      1.18e-03     147.6
   46      2.1183    0.4706      0.1716      0.6119    0.4810      1.17e-03     147.7
   47      0.0417    0.5097      0.1926      0.6105    0.5159      1.16e-03     147.8
   48      2.5580    0.4759      0.1831      0.5829    0.4888      1.15e-03     147.7
   49      1.1172    0.4660      0.1744      0.6075    0.4752      1.14e-03     147.9
   50      0.0701    0.4733      0.1829      0.6142    0.4743      1.13e-03     148.4
   51      0.0702    0.4609      0.1695      0.5634    0.4642      1.12e-03     149.7
   52      0.9647    0.5020      0.1883      0.6694    0.5031      1.11e-03     149.8
   53      4.6004    0.5508      0.2080      0.6754    0.5416      1.09e-03     149.8
   54      2.0619    0.5021      0.1870      0.6556    0.4773      1.08e-03     149.6
   55      1.4608    0.5167      0.1962      0.6347    0.5053      1.07e-03     149.8
   56      1.0671    0.5231      0.1943      0.6644    0.5220      1.06e-03     149.7
   57      1.8047    0.5154      0.2014      0.6723    0.5023      1.05e-03     149.7
   58      1.1045    0.5347      0.2045      0.6437    0.5230      1.04e-03     149.6
   59      1.2321    0.5149      0.1964      0.6562    0.4983      1.03e-03     149.7
   60      0.2593    0.4994      0.1777      0.6231    0.5168      1.02e-03     149.7
   61      1.6502    0.5061      0.1869      0.6507    0.4887      1.01e-03     149.7
   62      2.5395    0.5257      0.1959      0.6237    0.5170      9.96e-04     149.7
   63      0.9550    0.5140      0.2022      0.6393    0.5192      9.85e-04     149.6
   64      1.2799    0.5091      0.1975      0.6715    0.4898      9.74e-04     149.5
   65      1.5042    0.5239      0.1945      0.6541    0.5165      9.63e-04     149.7
   66      0.0191    0.5192      0.1936      0.6341    0.5217      9.52e-04     149.7
   67      1.0413    0.5126      0.1933      0.6407    0.5024      9.41e-04     149.6
   68      2.0910    0.5100      0.1875      0.6136    0.5084      9.30e-04     149.5
   69      2.0123    0.5204      0.1979      0.6329    0.5064      9.19e-04     149.6
   70      1.3326    0.5187      0.2039      0.6527    0.4880      9.08e-04     149.5
   71      1.1516    0.5238      0.2026      0.6946    0.4989      8.97e-04     149.5
   72      1.6653    0.5431      0.2061      0.7212    0.5074      8.86e-04     149.8
   73      1.2855    0.5448      0.2155      0.6869    0.5137      8.75e-04     149.7
   74      1.2178    0.5280      0.2012      0.5974    0.5333      8.64e-04     149.7
   75      0.6763    0.5341      0.2129      0.6422    0.5316      8.53e-04     149.5
   76      0.2781    0.5355      0.2045      0.6598    0.5133      8.42e-04     149.5
   77      1.8087    0.5340      0.2097      0.6471    0.5131      8.31e-04     149.6
   78      0.8888    0.5371      0.2129      0.6602    0.4994      8.20e-04     149.5
   79      0.1156    0.5540      0.2136      0.6421    0.5253      8.09e-04     149.5
   80      0.0415    0.5111      0.2078      0.6609    0.4877      7.98e-04     149.5
   81      1.0506    0.5496      0.2056      0.6841    0.5377      7.87e-04     149.4
   82      1.0460    0.5511      0.2140      0.6548    0.5329      7.76e-04     149.6
   83      0.9420    0.5319      0.2039      0.7227    0.4932      7.65e-04     149.7
   84      0.1778    0.5535      0.2130      0.6832    0.5129      7.54e-04     149.5
   85      1.5849    0.5371      0.2009      0.6170    0.5363      7.43e-04     149.5
   86      1.7364    0.5393      0.2008      0.6349    0.5304      7.32e-04     149.6
   87      1.7125    0.5467      0.2104      0.6135    0.5427      7.21e-04     149.7
   88      0.9427    0.5545      0.2066      0.7249    0.5081      7.10e-04     149.7
   89      0.7697    0.5631      0.2199      0.6712    0.5366      6.99e-04     149.8
   90      1.0083    0.5619      0.2205      0.6638    0.5346      6.88e-04     149.8
   91      0.0097    0.5579      0.2150      0.6864    0.5250      6.77e-04     149.6
   92      0.9158    0.5334      0.2026      0.6531    0.5006      6.66e-04     149.8
   93      1.0947    0.5415      0.2119      0.6522    0.5209      6.55e-04     149.6
