epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.078,2.29323,4.94821,16.7762,1.11205,0.14273,0.1426,0.1318,0.05359,0,0,0,0,2.69384,108.973,3.19146,1.06441,0.0807191,0.000293617,0.000293617
2,145.771,2.21371,4.0544,1.75141,1.06995,0.24366,0.17455,0.20138,0.06741,0,0,0,0,2.8426,18.0837,7.70524,1.20572,0.061019,0.000593472,0.000593472
3,188.491,2.23864,4.08482,1.79152,1.08852,0.17627,0.05667,0.0928,0.02899,0.15507,0.03583,0.08232,0.0203,2.53748,5.23571,4.85486,1.13734,0.0413183,0.000892744,0.000892744
4,231.648,2.29908,4.09046,1.83129,1.09686,0,0,0,0,0,0,0,0,4.9676,16.4601,inf,3.85833,0.0216165,0.00119099,0.00119099
5,275.797,2.29439,4.02596,1.79207,1.10332,0.00073,0.00221,3e-05,1e-05,0,0,0,0,4.46698,6.22032,inf,1.76909,0.00191332,0.00148779,0.00148779
6,318.58,2.33428,4.079,1.81513,1.10303,0,0,0,0,0,0,0,0,5.29651,30.8272,5.38248,5.18724,0.00149086,0.00149086,0.00149086
7,362.052,2.2588,4.0306,1.74874,1.08567,0.25407,0.16165,0.18228,0.07475,0.13178,0.07835,0.07183,0.02949,2.68173,5.59951,3.17431,1.17855,0.00148685,0.00148685,0.00148685
8,404.836,2.23894,4.04168,1.68551,1.08356,0.84048,0.12394,0.47884,0.23792,0.12427,0.0131,0.06355,0.02554,2.51078,5.25692,2.4537,1.14339,0.00148212,0.00148212,0.00148212
9,448.498,2.23687,3.99061,1.68509,1.09186,0.47658,0.10903,0.29506,0.11365,0.05531,0.01023,0.02873,0.00649,2.66462,4.96533,3.19774,1.15763,0.00147667,0.00147667,0.00147667
10,491.707,2.18526,3.99037,1.57345,1.06567,0.58054,0.26694,0.43386,0.16511,0.18898,0.06866,0.10363,0.02708,2.46848,4.6928,1.93526,1.13801,0.00147052,0.00147052,0.00147052
11,534.867,2.15618,3.98341,1.58635,1.07139,0.57679,0.24482,0.42597,0.16616,0.1169,0.03189,0.06276,0.02409,2.52874,4.81917,2.00825,1.16851,0.00146366,0.00146366,0.00146366
12,578.226,2.12769,3.91953,1.52312,1.0586,0.58375,0.28439,0.44002,0.18702,0.20502,0.07962,0.11296,0.03304,2.28702,4.43506,1.72206,1.10975,0.0014561,0.0014561,0.0014561
13,621.511,2.10526,3.9781,1.50073,1.04383,0.7115,0.28339,0.50868,0.20655,0.22563,0.06732,0.12714,0.05151,2.33918,4.57152,1.69462,1.09708,0.00144786,0.00144786,0.00144786
14,664.595,2.10568,3.97574,1.48701,1.04874,0.57845,0.18712,0.38508,0.1673,0.21656,0.05161,0.1186,0.04024,2.40494,4.66361,2.30152,1.08148,0.00143893,0.00143893,0.00143893
15,707.649,2.10075,4.02607,1.48559,1.05788,0.79309,0.21527,0.50793,0.19785,0.17213,0.04379,0.09012,0.05067,2.44712,4.7418,2.19821,1.09327,0.00142933,0.00142933,0.00142933
16,750.211,2.07539,3.97123,1.46829,1.03695,0.38447,0.02567,0.20621,0.07182,0.07765,0.00254,0.03945,0.03258,2.63494,5.09763,3.11579,1.11867,0.00141907,0.00141907,0.00141907
