epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.265,3.0354,5.73141,1.32791,0.06311,0.07427,0.02271,0.00392,4.28111,3977.39,2.08083,0.000554169,0.000554169,0.000554169
2,766.556,3.01464,2.80988,1.32556,0.30282,0.18184,0.13726,0.03701,3.03134,2.414,1.34299,0.00110251,0.00110251,0.00110251
3,1177.81,2.92656,2.57905,1.28015,0.42447,0.26634,0.23756,0.07836,2.53589,2.00956,1.14235,0.00164352,0.00164352,0.00164352
4,1594.07,2.87085,2.46793,1.24295,0.33879,0.13339,0.11505,0.04181,2.97027,3.13,1.26819,0.00163399,0.00163399,0.00163399
5,1978.51,2.72864,2.31083,1.22319,0.48206,0.3374,0.31667,0.10765,2.40297,1.80909,1.13024,0.00162299,0.00162299,0.00162299
6,2321.59,2.71717,2.17753,1.19694,0.48904,0.25852,0.25025,0.0798,2.59954,2.04833,1.15208,0.00161199,0.00161199,0.00161199
7,2891.77,2.63303,2.15461,1.18317,0.4758,0.32798,0.30219,0.08914,2.49996,1.77067,1.15454,0.00160099,0.00160099,0.00160099
8,3303.58,2.58664,2.13758,1.16421,0.45732,0.35144,0.31615,0.11095,2.29842,1.59765,1.10779,0.00158998,0.00158998,0.00158998
9,3835.37,2.50009,1.97601,1.13761,0.55523,0.36528,0.36516,0.12826,2.26086,1.67876,1.09554,0.00157898,0.00157898,0.00157898
10,4192.17,2.48705,1.93806,1.14322,0.48891,0.29742,0.30347,0.09908,2.38768,2.01869,1.1375,0.00156798,0.00156798,0.00156798
11,4804.31,2.47264,1.94786,1.14228,0.49188,0.36341,0.34853,0.13625,2.19683,1.63144,1.08709,0.00155698,0.00155698,0.00155698
12,5137.95,2.4382,1.89528,1.13945,0.52624,0.37558,0.36404,0.13093,2.21907,1.49709,1.08322,0.00154598,0.00154598,0.00154598
13,5445.27,2.3831,1.7569,1.11838,0.53951,0.36386,0.36197,0.13143,2.177,1.74388,1.08162,0.00153497,0.00153497,0.00153497
14,5877.01,2.40509,1.83058,1.12625,0.62989,0.35652,0.38234,0.13873,2.18342,1.81141,1.08525,0.00152397,0.00152397,0.00152397
15,6469.78,2.39528,1.82576,1.11013,0.52666,0.38546,0.33025,0.1012,2.32831,1.6379,1.07129,0.00151297,0.00151297,0.00151297
16,6893.39,2.42641,1.77921,1.09416,0.50838,0.41849,0.39216,0.1515,2.13486,1.39163,1.05047,0.00150197,0.00150197,0.00150197
17,7531.19,2.39303,1.70133,1.1024,0.46449,0.37244,0.35272,0.13065,2.31757,1.4265,1.08745,0.00149096,0.00149096,0.00149096
18,8201.43,2.38296,1.694,1.10026,0.53299,0.41221,0.40387,0.14411,2.1442,1.47384,1.0555,0.00147996,0.00147996,0.00147996
19,8607.92,2.37001,1.68684,1.08589,0.51662,0.40858,0.3675,0.13477,2.22595,1.40866,1.06498,0.00146896,0.00146896,0.00146896
20,8980.45,2.31747,1.67094,1.07506,0.55585,0.46141,0.43125,0.15918,2.11602,1.36074,1.03952,0.00145796,0.00145796,0.00145796
21,9286.95,2.36777,1.65671,1.07963,0.49984,0.39429,0.3775,0.14181,2.19909,1.49364,1.06702,0.00144696,0.00144696,0.00144696
22,9699.68,2.3276,1.66657,1.0724,0.63378,0.41094,0.42283,0.16173,2.08923,1.39773,1.03955,0.00143595,0.00143595,0.00143595
23,10095.8,2.32994,1.68552,1.09334,0.51608,0.4038,0.38249,0.14268,2.16125,1.40987,1.0616,0.00142495,0.00142495,0.00142495
24,10549.6,2.25391,1.57067,1.07922,0.58812,0.41568,0.41343,0.14963,2.20926,1.43062,1.04806,0.00141395,0.00141395,0.00141395
25,10894.6,2.25926,1.54783,1.06494,0.48662,0.08145,0.1023,0.0286,3.58219,4.29574,1.25763,0.00140295,0.00140295,0.00140295
26,11232.3,2.32449,1.6234,1.06193,0.54953,0.40913,0.39631,0.14737,2.23319,1.39659,1.0552,0.00139195,0.00139195,0.00139195
27,11501.1,2.32156,1.60899,1.06519,0.48164,0.41689,0.36451,0.13264,2.27658,1.44151,1.05949,0.00138094,0.00138094,0.00138094
28,11873.8,2.29667,1.55492,1.06833,0.58128,0.44584,0.44456,0.16823,2.08632,1.333,1.04156,0.00136994,0.00136994,0.00136994
29,12219.7,2.26958,1.56562,1.05811,0.60684,0.4586,0.47553,0.18373,2.17108,1.35847,1.05602,0.00135894,0.00135894,0.00135894
30,12738.4,2.28187,1.56021,1.04734,0.5904,0.34582,0.37196,0.13326,2.30949,1.75746,1.07815,0.00134794,0.00134794,0.00134794
31,13302.6,2.24471,1.5329,1.05871,0.46472,0.41963,0.36248,0.14141,2.18926,1.39466,1.05577,0.00133693,0.00133693,0.00133693
32,13738,2.24186,1.54518,1.05523,0.57247,0.43146,0.39085,0.14265,2.09848,1.39082,1.03161,0.00132593,0.00132593,0.00132593
33,14164.5,2.20447,1.48126,1.05897,0.51753,0.43941,0.4119,0.15409,2.1659,1.40291,1.06024,0.00131493,0.00131493,0.00131493
34,14659.3,2.25449,1.50893,1.03521,0.60079,0.46013,0.44569,0.16657,2.1572,1.47616,1.03912,0.00130393,0.00130393,0.00130393
35,15002.9,2.23887,1.50255,1.05516,0.65161,0.46689,0.45821,0.17094,2.09966,1.29093,1.04229,0.00129293,0.00129293,0.00129293
36,15426,2.2405,1.53576,1.04348,0.5676,0.48277,0.4541,0.16852,2.08509,1.31781,1.05057,0.00128192,0.00128192,0.00128192
37,15704.4,2.20074,1.47771,1.04133,0.57544,0.4483,0.41814,0.1549,2.208,1.43774,1.06437,0.00127092,0.00127092,0.00127092
38,16198.9,2.21971,1.46044,1.05183,0.56392,0.44072,0.41465,0.15312,2.15057,1.41169,1.05484,0.00125992,0.00125992,0.00125992
39,16578,2.24214,1.44576,1.04533,0.60907,0.45426,0.4547,0.17051,2.04135,1.33798,1.02297,0.00124892,0.00124892,0.00124892
40,16966.7,2.17103,1.47604,1.03459,0.59148,0.4832,0.45692,0.16258,2.09913,1.33808,1.03541,0.00123791,0.00123791,0.00123791
41,17394.3,2.23033,1.509,1.04276,0.5742,0.4965,0.45479,0.1644,2.10885,1.37694,1.03748,0.00122691,0.00122691,0.00122691
42,17770.5,2.21171,1.46131,1.03669,0.60066,0.50216,0.49286,0.17736,2.02507,1.30103,1.02809,0.00121591,0.00121591,0.00121591
43,18244.9,2.1582,1.43418,1.04251,0.56096,0.46186,0.45701,0.17628,2.0791,1.2955,1.03911,0.00120491,0.00120491,0.00120491
44,18626.3,2.16797,1.42378,1.03697,0.61615,0.50031,0.4951,0.17981,2.05346,1.27837,1.04568,0.00119391,0.00119391,0.00119391
45,18999.6,2.1472,1.40543,1.03158,0.56105,0.48544,0.44662,0.1702,2.07981,1.32685,1.03118,0.0011829,0.0011829,0.0011829
