====================================================================================================
YOLO11 EĞİTİM SONUÇLARI (EPOCH LOGGING ENABLED)
====================================================================================================

EĞİTİM KONFİGÜRASYONU:
--------------------------------------------------
Model: yolo11x.pt
Veri Seti: C:/Users/arge.ortak/Desktop/Lens/Datasets/Lens_Kabin_Aralik_Yolo
Epoch Sayısı: 150
Batch Size: 8
Image Size: 1000
Learning Rate: 0.01
LR Final (lrf): 0.01
Weight Decay: 0.0005
Patience: 30
IoU Threshold: 0.25
Conf Threshold: 0.001
Sınıf Sayısı: 2
Augmentation: Aktif
Cihaz: cuda
GPU: NVIDIA RTX A4500

EĞİTİM SÜRESİ:
--------------------------------------------------
Başlangıç: 2026-01-14 09:03:10
Bitiş: 2026-01-14 23:49:16
Toplam Süre: 886.11 dakika

EPOCH GEÇMİŞİ:
====================================================================================================
Epoch   TrainLoss     mAP50    mAP50-95   Precision    Recall            LR   Time(s)
----------------------------------------------------------------------------------------------------
    1      1.3999    0.0227      0.0039      0.0631    0.0743      5.54e-04     243.5
    2      1.4051    0.1373      0.0370      0.3028    0.1818      1.10e-03     524.3
    3      2.0964    0.2376      0.0784      0.4245    0.2663      1.64e-03     411.3
    4      1.5123    0.1150      0.0418      0.3388    0.1334      1.63e-03     416.0
    5      2.4694    0.3167      0.1076      0.4821    0.3374      1.62e-03     384.7
    6      1.8013    0.2502      0.0798      0.4890    0.2585      1.61e-03     342.8
    7      1.7278    0.3022      0.0891      0.4758    0.3280      1.60e-03     570.0
    8      1.9588    0.3161      0.1109      0.4573    0.3514      1.59e-03     412.1
    9      2.0938    0.3652      0.1283      0.5552    0.3653      1.58e-03     531.6
   10      1.3437    0.3035      0.0991      0.4889    0.2974      1.57e-03     356.6
   11      1.5837    0.3485      0.1363      0.4919    0.3634      1.56e-03     612.3
   12      0.1246    0.3640      0.1309      0.5262    0.3756      1.55e-03     333.4
   13      1.7142    0.3620      0.1314      0.5395    0.3639      1.53e-03     307.3
   14      2.1153    0.3823      0.1387      0.6299    0.3565      1.52e-03     432.0
   15      2.8385    0.3302      0.1012      0.5267    0.3855      1.51e-03     592.4
   16      0.2646    0.3922      0.1515      0.5084    0.4185      1.50e-03     423.8
   17      1.5885    0.3527      0.1306      0.4645    0.3724      1.49e-03     637.7
   18      2.1572    0.4039      0.1441      0.5330    0.4122      1.48e-03     670.0
   19      0.8690    0.3675      0.1348      0.5166    0.4086      1.47e-03     406.5
   20      1.9339    0.4313      0.1592      0.5558    0.4614      1.46e-03     372.7
   21      2.0715    0.3775      0.1418      0.4998    0.3943      1.45e-03     306.3
   22      0.3720    0.4228      0.1617      0.6338    0.4109      1.44e-03     413.0
   23      1.5344    0.3825      0.1427      0.5161    0.4038      1.42e-03     395.9
   24      1.1271    0.4134      0.1496      0.5881    0.4157      1.41e-03     453.7
   25      0.0382    0.1023      0.0286      0.4866    0.0814      1.40e-03     345.0
   26      0.9038    0.3963      0.1474      0.5495    0.4091      1.39e-03     337.6
   27      0.9972    0.3645      0.1326      0.4816    0.4169      1.38e-03     268.8
   28      1.8692    0.4446      0.1682      0.5813    0.4458      1.37e-03     373.0
   29      1.6538    0.4755      0.1837      0.6068    0.4586      1.36e-03     345.9
   30      0.0251    0.3720      0.1333      0.5904    0.3458      1.35e-03     518.3
   31      1.0128    0.3625      0.1414      0.4647    0.4196      1.34e-03     564.3
   32      1.5521    0.3908      0.1426      0.5725    0.4315      1.33e-03     435.4
   33      0.0433    0.4119      0.1541      0.5175    0.4394      1.31e-03     426.6
   34      0.0754    0.4457      0.1666      0.6008    0.4601      1.30e-03     494.7
   35      1.4039    0.4582      0.1709      0.6516    0.4669      1.29e-03     343.6
   36      1.5545    0.4541      0.1685      0.5676    0.4828      1.28e-03     423.0
   37      0.6186    0.4181      0.1549      0.5754    0.4483      1.27e-03     278.5
   38      1.3545    0.4147      0.1531      0.5639    0.4407      1.26e-03     494.3
   39      2.8433    0.4547      0.1705      0.6091    0.4543      1.25e-03     379.1
   40      1.4751    0.4569      0.1626      0.5915    0.4832      1.24e-03     388.7
   41      0.0243    0.4548      0.1644      0.5742    0.4965      1.23e-03     427.7
   42      0.0236    0.4929      0.1774      0.6007    0.5022      1.22e-03     376.2
   43      0.9436    0.4570      0.1763      0.5610    0.4619      1.20e-03     474.3
   44      2.2634    0.4951      0.1798      0.6161    0.5003      1.19e-03     381.4
   45      1.1547    0.4466      0.1702      0.5611    0.4854      1.18e-03     373.4
   46      2.2960    0.4887      0.1696      0.5739    0.5093      1.17e-03     459.9
   47      0.0410    0.4806      0.1811      0.5761    0.4962      1.16e-03     436.8
   48      1.7249    0.4664      0.1729      0.5984    0.4579      1.15e-03     436.7
   49      1.1948    0.4860      0.1865      0.6215    0.4732      1.14e-03     436.7
   50      0.0242    0.4818      0.1838      0.6072    0.4881      1.13e-03     422.6
   51      0.1107    0.4753      0.1735      0.6038    0.4940      1.12e-03     721.6
   52      0.9290    0.4886      0.1783      0.5935    0.5107      1.11e-03     635.7
   53      4.8045    0.5284      0.1951      0.6235    0.5302      1.09e-03     455.0
   54      1.6887    0.5226      0.1874      0.6338    0.5190      1.08e-03     425.5
   55      1.3111    0.4863      0.1761      0.6486    0.4683      1.07e-03     647.0
   56      1.0960    0.4999      0.1787      0.6122    0.5124      1.06e-03     513.3
   57      1.5058    0.5208      0.1894      0.6400    0.5156      1.05e-03     469.1
   58      0.8073    0.4736      0.1706      0.5812    0.4877      1.04e-03     438.3
   59      1.1542    0.5015      0.1882      0.6852    0.4785      1.03e-03     734.1
   60      0.1551    0.4859      0.1823      0.5946    0.5133      1.02e-03     281.1
   61      2.1642    0.5187      0.1929      0.6051    0.5249      1.01e-03     450.5
   62      3.1792    0.5111      0.1902      0.6369    0.5237      9.96e-04     930.2
   63      0.9397    0.5109      0.1893      0.6229    0.5152      9.85e-04    1053.4
   64      1.3279    0.4968      0.1884      0.6028    0.5217      9.74e-04     479.4
   65      1.8069    0.5003      0.1763      0.6096    0.5266      9.63e-04     541.0
   66      0.0284    0.5097      0.1884      0.6228    0.5099      9.52e-04     517.0
   67      1.0471    0.4762      0.1808      0.6037    0.4822      9.41e-04     556.0
   68      2.2146    0.5017      0.1832      0.6208    0.4938      9.30e-04     536.0
   69      2.2880    0.5189      0.1968      0.6149    0.5227      9.19e-04     445.8
   70      1.2945    0.4880      0.1868      0.6206    0.4983      9.08e-04     537.9
   71      1.1306    0.5233      0.1945      0.6069    0.5253      8.97e-04     410.3
   72      1.6370    0.5273      0.1943      0.6263    0.5300      8.86e-04     394.6
   73      1.1389    0.5025      0.1974      0.6008    0.4995      8.75e-04     397.7
   74      0.9459    0.5239      0.1827      0.6389    0.5410      8.64e-04     431.9
   75      0.6522    0.5528      0.2118      0.6462    0.5437      8.53e-04     391.6
   76      0.1985    0.5350      0.1980      0.7268    0.4724      8.42e-04     437.8
   77      1.6750    0.5417      0.2088      0.6573    0.5180      8.31e-04     374.0
   78      0.0549    0.5231      0.1863      0.6345    0.5063      8.20e-04     428.1
   79      0.1637    0.5349      0.2006      0.6285    0.5240      8.09e-04     345.2
   80      0.0696    0.5365      0.2021      0.6218    0.5166      7.98e-04     457.7
   81      1.0756    0.5474      0.2157      0.6378    0.5275      7.87e-04     424.8
   82      0.9461    0.5353      0.2046      0.6388    0.5234      7.76e-04     507.0
   83      1.0768    0.5484      0.2019      0.6541    0.5377      7.65e-04     326.7
   84      0.1215    0.5143      0.1908      0.6181    0.5098      7.54e-04     338.4
   85      2.1675    0.5181      0.1929      0.6308    0.4997      7.43e-04     306.6
   86      1.5627    0.5278      0.2043      0.6244    0.5178      7.32e-04     372.2
   87      1.7506    0.5318      0.2023      0.6300    0.5216      7.21e-04     407.2
   88      0.9594    0.5270      0.2011      0.6398    0.5198      7.10e-04     413.9
   89      0.8458    0.5379      0.2025      0.6463    0.5095      6.99e-04     435.0
   90      0.8637    0.5532      0.2180      0.6337    0.5432      6.88e-04     364.7
   91      0.0181    0.5525      0.2136      0.6839    0.5140      6.77e-04     390.8
   92      0.9168    0.5306      0.1889      0.6470    0.4913      6.66e-04     387.2
   93      1.2000    0.5356      0.2021      0.6184    0.5206      6.55e-04     319.9
   94      1.6275    0.5226      0.1922      0.6204    0.4993      6.44e-04     506.6
   95      0.9701    0.5269      0.1981      0.6399    0.5199      6.33e-04     419.1
   96      0.0720    0.5416      0.1994      0.6772    0.5153      6.22e-04     374.5
   97      0.0390    0.5443      0.2045      0.6564    0.5112      6.11e-04     405.3
   98      1.0690    0.5420      0.1967      0.6586    0.5270      6.00e-04     728.9
   99      0.2036    0.5367      0.2022      0.6220    0.5404      5.89e-04     459.1
  100      2.2296    0.5419      0.2005      0.6530    0.5108      5.78e-04     420.0
  101      1.7770    0.5444      0.2083      0.6275    0.5348      5.67e-04     326.2
  102      0.0463    0.5344      0.2003      0.6217    0.5232      5.56e-04     373.9
  103      1.0330    0.5390      0.2057      0.6451    0.5367      5.45e-04     399.4
  104      1.5584    0.5414      0.2096      0.6303    0.5353      5.34e-04     374.2
  105      0.0178    0.5529      0.2109      0.6473    0.5451      5.23e-04     434.4
  106      0.0263    0.5476      0.2152      0.6581    0.5178      5.12e-04     413.9
  107      1.2927    0.5495      0.2102      0.6304    0.5308      5.01e-04     746.7
  108      1.8901    0.5427      0.2110      0.6333    0.5274      4.90e-04     499.5
  109      1.9894    0.5380      0.2116      0.6321    0.5235      4.79e-04     281.4
  110      1.2726    0.5321      0.2104      0.6122    0.5329      4.68e-04     391.2
  111      1.2214    0.5267      0.2049      0.6535    0.5065      4.57e-04     407.9
  112      1.3514    0.5356      0.2036      0.6228    0.5188      4.46e-04     452.3
  113      0.0886    0.5485      0.2080      0.6371    0.5442      4.35e-04     381.3
  114      0.8816    0.5371      0.2072      0.6240    0.5422      4.24e-04     433.6
  115      0.0309    0.5571      0.2089      0.6543    0.5474      4.13e-04     400.0
  116      1.3983    0.5413      0.2093      0.6488    0.5290      4.02e-04     404.9
  117      1.0182    0.5318      0.2135      0.6214    0.5172      3.91e-04     281.2
  118      0.0191    0.5395      0.2134      0.6212    0.5302      3.80e-04     388.2
  119      1.3444    0.5508      0.2165      0.6410    0.5377      3.69e-04     396.6
  120      1.2498    0.5501      0.2172      0.6410    0.5374      3.58e-04     374.0
  120      1.2498    0.5520      0.2179      0.6340    0.5409      3.58e-04     386.9

EN İYİ MODEL SONUÇLARI:
====================================================================================================
En İyi Epoch: 115
mAP50: 0.5520
mAP50-95: 0.2179
Precision: 0.6340
Recall: 0.5409


====================================================================================================
mAP@0.25 SONUÇLARI (Özel IoU Threshold):
====================================================================================================
EN İYİ MODEL (BEST):
  mAP@0.25: 0.5630
  mAP50: 0.5630
  mAP50-95: 0.2250
  Precision: 0.6497
  Recall: 0.5535

SON MODEL (LAST):
  mAP@0.25: 0.5585
  mAP50: 0.5585
  mAP50-95: 0.2226
  Precision: 0.6376
  Recall: 0.5517


====================================================================================================
EN İYİ MODEL (BEST) TEST SONUÇLARI:
====================================================================================================
mAP50: 0.5537
mAP50-95: 0.2243
Precision: 0.7308
Recall: 0.4990
mAP@0.25: 0.5630

====================================================================================================
SON MODEL (LAST) TEST SONUÇLARI:
====================================================================================================
mAP50: 0.5515
mAP50-95: 0.2227
Precision: 0.6242
Recall: 0.5309
mAP@0.25: 0.5585

====================================================================================================
NOT: Bu sonuçlar otomatik olarak oluşturulmuştur.
Epoch logları: C:/Users/arge.ortak/Desktop/Lens/results/YOLO11\Kabin_aralik_20260114_090309\epoch_logs
====================================================================================================
