epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.6125,2.44008,4.77737,6.79346,1.11865,0,0,0,0,0,0,0,0,2.95545,71.6452,5.92124,1.20384,0.0807191,0.000293617,0.000293617
2,116.642,2.24424,4.08968,1.93784,1.06686,0.46875,0.02708,0.24753,0.09106,0,0,0,0,2.49068,9.21224,2.958,1.11324,0.061019,0.000593472,0.000593472
3,153.851,2.26794,4.0512,1.83617,1.09939,0.35,0.03791,0.19394,0.1076,0.13333,0.01444,0.07651,0.02001,2.79509,4.61991,2.6463,1.10233,0.0413183,0.000892744,0.000892744
4,210.295,2.28931,4.05304,1.77306,1.08422,0.52177,0.09052,0.30549,0.12091,0.22637,0.02621,0.12269,0.02911,2.41708,4.88394,2.49281,1.07789,0.0216165,0.00119099,0.00119099
5,249.512,2.27251,3.98251,1.76637,1.09679,0.55766,0.11024,0.33488,0.14148,0,0,0,0,2.76608,5.14545,2.47949,1.19436,0.00191332,0.00148779,0.00148779
6,287.015,2.27232,4.0611,1.73069,1.09012,0.4288,0.17455,0.30135,0.11742,0.05643,0.01932,0.02884,0.00701,2.82878,4.97858,2.6669,1.16308,0.00149086,0.00149086,0.00149086
7,340.822,2.23884,4.00726,1.69467,1.07463,0.93182,0.04091,0.48572,0.20465,0.19192,0.01157,0.10225,0.02442,2.91859,4.76819,3.16166,1.20062,0.00148685,0.00148685,0.00148685
8,376.728,2.24054,4.01395,1.67322,1.0791,0.63004,0.2279,0.43162,0.17985,0.20345,0.03282,0.10723,0.06647,2.34689,5.16589,2.04052,1.08815,0.00148212,0.00148212,0.00148212
9,412.855,2.20722,3.98363,1.61264,1.08794,0.55591,0.38313,0.47607,0.18746,0.1852,0.11264,0.10559,0.0343,2.21921,4.33724,1.65528,1.07805,0.00147667,0.00147667,0.00147667
10,466.59,2.16932,3.98168,1.56689,1.06139,0.54418,0.34161,0.45289,0.17457,0.21254,0.09827,0.11803,0.04162,2.29623,4.54049,1.72565,1.07644,0.00147052,0.00147052,0.00147052
11,504.088,2.13382,3.98261,1.57419,1.06271,0.67521,0.26587,0.45612,0.19067,0.12974,0.04693,0.07327,0.0287,2.26805,4.88585,1.92567,1.09071,0.00146366,0.00146366,0.00146366
12,542.722,2.12107,3.92562,1.52442,1.05248,0.6751,0.2678,0.46854,0.19257,0.19412,0.07213,0.12125,0.04554,2.26394,4.39992,1.92538,1.09315,0.0014561,0.0014561,0.0014561
13,601.151,2.09464,3.97198,1.53011,1.04085,0.72373,0.29241,0.50943,0.20562,0.21392,0.05435,0.11941,0.04116,2.19279,4.73726,1.60053,1.06043,0.00144786,0.00144786,0.00144786
14,638.124,2.07984,3.97235,1.46394,1.04276,0.67621,0.11872,0.39304,0.14069,0.13897,0.0244,0.07756,0.03911,2.60568,4.88982,3.48828,1.09451,0.00143893,0.00143893,0.00143893
15,674.178,2.11973,4.03224,1.50735,1.05351,0.55522,0.11458,0.32294,0.1228,0.17327,0.03429,0.0937,0.02578,2.33816,4.57638,3.01829,1.07365,0.00142933,0.00142933,0.00142933
16,728.375,2.08523,3.97358,1.47628,1.02836,0.8,0.00762,0.40272,0.12438,0.1,0.00181,0.0503,0.00503,2.90327,5.33374,3.53481,1.15118,0.00141907,0.00141907,0.00141907
17,766.122,2.04617,3.91658,1.41856,1.0416,0.5869,0.23205,0.40951,0.17109,0.20464,0.0583,0.10971,0.03518,2.34527,4.28033,1.71272,1.10232,0.00140816,0.00140816,0.00140816
18,803.538,2.05079,3.95935,1.38579,1.02745,0.59751,0.3499,0.49225,0.1973,0.18232,0.08336,0.10424,0.04451,2.18216,4.59346,1.55296,1.08232,0.0013966,0.0013966,0.0013966
19,862.593,2.04385,3.93972,1.42859,1.037,0.6631,0.31427,0.48503,0.21167,0.20432,0.08577,0.13081,0.04763,2.18039,4.44472,1.53242,1.05492,0.00138441,0.00138441,0.00138441
